ncei_id,location_name,ncei_magnitude,damage_order,mag_body_wave,published,damage_order_total,houses_damaged_total,houses_damaged_order_total,country,region_code,injuries,injuries_order,houses_destroyed,houses_destroyed_order,houses_damaged,houses_damaged_order,mag_moment,mag_surface_wave,injuries_total,injuries_order_total,houses_destroyed_total,houses_destroyed_order_total,deaths,deaths_order,damage_millions,deaths_total,deaths_order_total,damage_millions_total,intensity,usgs_id,time,latitude,longitude,depth,usgs_magnitude,place,sig,mmi,alert,magnitude,year,depth_category,region
5632,BALKANS NW:  KOSOVO; MACEDONIA:  N,5.7,4.0,5.6,True,4.0,,,SERBIA,130,100.0,2.0,,,,,5.7,5.6,100.0,2.0,,,1.0,1.0,350.0,1.0,1.0,350.0,,usp000b324,2002-04-24 10:51:50.930000+00:00,42.436,21.466,10.0,5.7,"2 km S of Gjilan, Kosovo",500,6.657,,5.7,2002,shallow,BALKANS NW:  KOSOVO; MACEDONIA:  N
5633,IRAN:  WESTERN:  KERMANSHAH,5.4,4.0,5.2,True,4.0,,,IRAN,140,56.0,2.0,,4.0,,4.0,5.4,5.2,56.0,2.0,,4.0,2.0,1.0,,2.0,1.0,,,usp000b33c,2002-04-24 19:48:07.120000+00:00,34.642,47.4,33.0,5.4,"23 km SW of Sonqor, Iran",449,5.534,,5.4,2002,intermediate,IRAN:  WESTERN:  KERMANSHAH
5634,GEORGIA:  TBILISI,4.3,3.0,4.8,True,3.0,2400.0,4.0,GEORGIA,40,52.0,2.0,,,2400.0,4.0,,4.3,52.0,2.0,,,5.0,1.0,,5.0,1.0,,,usp000b35x,2002-04-25 17:41:21.530000+00:00,41.765,44.96,10.0,4.8,Georgia-Armenia border region,354,5.955,,4.8,2002,shallow,GEORGIA:  TBILISI
5636,TANZANIA:  BUNDA,5.5,2.0,5.2,True,2.0,700.0,3.0,TANZANIA,10,,,690.0,3.0,700.0,3.0,5.5,5.5,,,690.0,3.0,2.0,1.0,,2.0,1.0,,,usp000b4j1,2002-05-18 15:15:08.800000+00:00,-2.907,33.733,10.0,5.5,"25 km ENE of Malya, Tanzania",465,6.893,,5.5,2002,shallow,TANZANIA:  BUNDA
5639,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,6.5,4.0,6.2,True,4.0,,4.0,IRAN,140,1300.0,4.0,,4.0,,4.0,6.5,6.4,1300.0,4.0,,4.0,261.0,3.0,300.0,261.0,3.0,300.0,8.0,usp000b6pk,2002-06-22 02:58:21.300000+00:00,35.626,49.047,10.0,6.5,"59 km SSW of Abhar, Iran",650,8.262,,6.5,2002,shallow,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU
5644,INDONESIA:   SULAWESI:  TOJO,6.2,2.0,5.7,True,2.0,200.0,3.0,INDONESIA,170,,,,,200.0,3.0,6.2,5.8,,,,,48.0,1.0,,48.0,1.0,,,usp000b9xr,2002-08-15 05:30:26.230000+00:00,-1.196,121.333,10.0,6.2,"68 km ENE of Poso, Indonesia",591,7.217,,6.2,2002,shallow,INDONESIA:   SULAWESI:  TOJO
5648,ITALY:  SICILY:  PALERMO,6.0,4.0,5.8,True,4.0,,2.0,ITALY,130,20.0,1.0,,,,2.0,6.0,5.5,20.0,1.0,,,2.0,1.0,500.0,2.0,1.0,500.0,,usp000bbb2,2002-09-06 01:21:28.600000+00:00,38.381,13.701,5.0,6.0,"34 km NNE of Santa Flavia, Italy",554,5.012,,6.0,2002,shallow,ITALY:  SICILY:  PALERMO
5649,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",7.6,3.0,6.5,True,3.0,873.0,3.0,PAPUA NEW GUINEA,170,70.0,2.0,,1.0,873.0,3.0,7.6,7.8,70.0,2.0,,1.0,4.0,1.0,,4.0,1.0,,,usp000bbpf,2002-09-08 18:44:23.710000+00:00,-3.302,142.945,13.0,7.6,"68 km ESE of Aitape, Papua New Guinea",889,6.865,,7.6,2002,shallow,WEWAK
5650,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",6.5,1.0,6.2,True,2.0,,1.0,INDIA,60,,,40.0,1.0,,1.0,6.5,6.7,,,40.0,1.0,2.0,1.0,,2.0,1.0,,,usp000bc65,2002-09-13 22:28:29.460000+00:00,13.036,93.068,21.0,6.5,"152 km NNE of Bamboo Flat, India",650,6.4,,6.5,2002,shallow,ARIEL BAY
5656,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",7.6,3.0,6.5,True,3.0,900.0,3.0,INDONESIA,170,632.0,3.0,1000.0,3.0,900.0,3.0,7.6,7.7,632.0,3.0,1000.0,3.0,8.0,1.0,,8.0,1.0,,,usp000be54,2002-10-10 10:50:20.570000+00:00,-1.757,134.297,10.0,7.6,"102 km SSE of Manokwari, Indonesia",889,6.858,,7.6,2002,shallow,RANSIKI
